"","race","period","sex","age","foi_mean","foi_cri_lb","foi_cri_ub"
"1","Non-Hispanic White",1991,"Female",0,0.00784503718594006,0.00724028214979452,0.00845296897024277
"2","Non-Hispanic White",1991,"Female",1,0.00780210816707253,0.00719783381094776,0.00838623237178106
"3","Non-Hispanic White",1991,"Female",2,0.0077590929323786,0.00715533040996815,0.00832441762867201
"4","Non-Hispanic White",1991,"Female",3,0.00771599518238693,0.00711132203196408,0.00825737119146014
"5","Non-Hispanic White",1991,"Female",4,0.00767281864259423,0.0070671050425425,0.00819095400780793
"6","Non-Hispanic White",1991,"Female",5,0.00762956706210504,0.00702286294771931,0.00812467643728437
"7","Non-Hispanic White",1991,"Female",6,0.00758624421225594,0.00697861642417107,0.00806467540567002
"8","Non-Hispanic White",1991,"Female",7,0.00754285388522541,0.00693434175058475,0.00800576709272027
"9","Non-Hispanic White",1991,"Female",8,0.00749939989263051,0.00689004283187954,0.00794395616610624
"10","Non-Hispanic White",1991,"Female",9,0.00745588606411145,0.00684571594592325,0.00788370110787276
"11","Non-Hispanic White",1991,"Female",10,0.0074123162459054,0.00680160905028768,0.00782068317349022
"12","Non-Hispanic White",1991,"Female",11,0.00736869429941057,0.00675894204457763,0.00775999341249055
"13","Non-Hispanic White",1991,"Female",12,0.00732502409974196,0.00671625605778032,0.00769896810355851
"14","Non-Hispanic White",1991,"Female",13,0.00728130953427984,0.00667355472705244,0.00764450731044576
"15","Non-Hispanic White",1991,"Female",14,0.00723755450121224,0.00663084169478899,0.00758068915215373
"16","Non-Hispanic White",1991,"Female",15,0.00719376290807272,0.00658812057175094,0.00753262601581781
"17","Non-Hispanic White",1991,"Female",16,0.00714993867027464,0.00654535790467754,0.00748720155416335
"18","Non-Hispanic White",1991,"Female",17,0.00710608570964304,0.00650088717941894,0.00743691880145006
"19","Non-Hispanic White",1991,"Female",18,0.00706220795294559,0.00645773657157687,0.00739956061053913
"20","Non-Hispanic White",1991,"Female",19,0.00701830933042361,0.00641494122958299,0.0073556730326054
"21","Non-Hispanic White",1991,"Female",20,0.00697439377432449,0.00637215682022685,0.00731828612550748
"22","Non-Hispanic White",1991,"Female",21,0.00693046521743678,0.00632938700058295,0.00727873610900783
"23","Non-Hispanic White",1991,"Female",22,0.00688652759162898,0.00628663542273505,0.00724214381454571
"24","Non-Hispanic White",1991,"Female",23,0.00684258482639343,0.00624390573253042,0.00720607185065845
"25","Non-Hispanic White",1991,"Female",24,0.00679864084739628,0.00620120156833875,0.00716919398408813
"26","Non-Hispanic White",1991,"Female",25,0.00675469957503486,0.00615548533406025,0.00713318522272886
"27","Non-Hispanic White",1991,"Female",26,0.0067107649230036,0.00610946514320527,0.00709719494297496
"28","Non-Hispanic White",1991,"Female",27,0.00666684079686944,0.00606602419364987,0.00706119641550976
"29","Non-Hispanic White",1991,"Female",28,0.00662293109265812,0.00602369242749483,0.00702505562966295
"30","Non-Hispanic White",1991,"Female",29,0.00657903969545224,0.00598139878096698,0.00698692505661749
"31","Non-Hispanic White",1991,"Female",30,0.00653517047800224,0.00593762856329864,0.00695164317604247
"32","Non-Hispanic White",1991,"Female",31,0.00649132729935138,0.00589304451514162,0.00691604531168202
"33","Non-Hispanic White",1991,"Female",32,0.00644751400347564,0.00584832470015504,0.00687982756276504
"34","Non-Hispanic White",1991,"Female",33,0.00640373441793966,0.00580368546418671,0.00684337043345433
"35","Non-Hispanic White",1991,"Female",34,0.00635999235256962,0.00576071243200343,0.00680685814312573
"36","Non-Hispanic White",1991,"Female",35,0.00631629159814398,0.00571799246956525,0.00677038346880401
"37","Non-Hispanic White",1991,"Female",36,0.00627263592510315,0.00567270770151644,0.00673400409195271
"38","Non-Hispanic White",1991,"Female",37,0.00622902908227868,0.00562843881539913,0.00669757637138285
"39","Non-Hispanic White",1991,"Female",38,0.00618547479564318,0.00558319440794626,0.00666080005725336
"40","Non-Hispanic White",1991,"Female",39,0.00614197676708149,0.00554002350363533,0.00662472479624134
"41","Non-Hispanic White",1991,"Female",40,0.00609853867318408,0.00549514256480574,0.006587764136859
"42","Non-Hispanic White",1991,"Female",41,0.00605516416406332,0.00545161815100344,0.00655077532865763
"43","Non-Hispanic White",1991,"Female",42,0.00601185686219345,0.00540777438576834,0.00651391236846396
"44","Non-Hispanic White",1991,"Female",43,0.00596862036127476,0.00536295352850627,0.00647667693684386
"45","Non-Hispanic White",1991,"Female",44,0.0059254582251229,0.00531866147891096,0.006439588259096
"46","Non-Hispanic White",1991,"Female",45,0.00588237398658363,0.00527522263157837,0.00640261639097974
"47","Non-Hispanic White",1991,"Female",46,0.00583937114647388,0.00523374487674851,0.00636531243555761
"48","Non-Hispanic White",1991,"Female",47,0.00579645317254938,0.00519060861512535,0.00632837429255868
"49","Non-Hispanic White",1991,"Female",48,0.00575362349849964,0.00514732341802507,0.00629136728459749
"50","Non-Hispanic White",1991,"Female",49,0.00571088552297056,0.00510564651738426,0.00625434517834482
"51","Non-Hispanic White",1991,"Female",50,0.00566824260861517,0.00506344974611214,0.00621756748052774
"52","Non-Hispanic White",1991,"Female",51,0.00562569808117292,0.00502075437426131,0.00618101723586657
"53","Non-Hispanic White",1991,"Female",52,0.00558325522857787,0.00497749019738352,0.00614477154696171
"54","Non-Hispanic White",1991,"Female",53,0.00554091730009601,0.00493377929130195,0.00610819642169576
"55","Non-Hispanic White",1991,"Female",54,0.00549868750549224,0.00489123250538344,0.00607071762567991
"56","Non-Hispanic White",1991,"Female",55,0.00545656901422695,0.00484827632590069,0.00603424658055773
"57","Non-Hispanic White",1991,"Female",56,0.0054145649546827,0.00480553158705032,0.00599693600260359
"58","Non-Hispanic White",1991,"Female",57,0.00537267841342098,0.00476214061996867,0.00596022088813757
"59","Non-Hispanic White",1991,"Female",58,0.00533091243446937,0.00471656449390545,0.00592347968660113
"60","Non-Hispanic White",1991,"Female",59,0.00528927001863902,0.00467178089946305,0.0058865598137068
"61","Non-Hispanic White",1991,"Female",60,0.00524775412287275,0.00462792006649694,0.00584965412273238
"62","Non-Hispanic White",1991,"Female",61,0.00520636765962366,0.00458343010320898,0.00581297985516035
"63","Non-Hispanic White",1991,"Female",62,0.00516511349626429,0.00453733553024586,0.00577680885214292
"64","Non-Hispanic White",1991,"Female",63,0.00512399445452638,0.00448867955992305,0.00574017795076196
"65","Non-Hispanic White",1991,"Female",64,0.00508301330997117,0.00444231153719364,0.00570331804595677
"66","Non-Hispanic White",1991,"Female",65,0.0050421727914901,0.00439610689246505,0.00566688266221254
"67","Non-Hispanic White",1991,"Female",66,0.00500147558083582,0.00435074319605179,0.0056304363663493
"68","Non-Hispanic White",1991,"Female",67,0.00496092431218351,0.0043041524163286,0.00559391506331905
"69","Non-Hispanic White",1991,"Female",68,0.00492052157172211,0.0042544838149377,0.00555742777742949
"70","Non-Hispanic White",1991,"Female",69,0.00488026989727548,0.00420439413873945,0.00552097713703093
"71","Non-Hispanic White",1991,"Female",70,0.00484017177795324,0.00415595841284484,0.00548456575982002
"72","Non-Hispanic White",1991,"Female",71,0.00480022965383084,0.00410928308750596,0.00544819625209656
"73","Non-Hispanic White",1991,"Female",72,0.00476044591565899,0.00406200630378464,0.00541187120802741
"74","Non-Hispanic White",1991,"Female",73,0.00472082290460176,0.00401452406398795,0.00537559320891775
"75","Non-Hispanic White",1991,"Female",74,0.00468136291200331,0.00396880873443253,0.00533936482249023
"76","Non-Hispanic White",1991,"Female",75,0.00464206817918277,0.0039214528156534,0.00530318860217241
"77","Non-Hispanic White",1991,"Female",76,0.00460294089725706,0.00387486087971244,0.0052693634674899
"78","Non-Hispanic White",1991,"Female",77,0.00456398320699114,0.00383000252657837,0.00523480998614842
"79","Non-Hispanic White",1991,"Female",78,0.00452519719867533,0.00378467232079013,0.00520085253403648
