Parameters,Mean,SD,LB,UB,race,age,year,race_f,type,n,time_plot,prev_fit,LB_scl,UB_scl,race_fac,year_f,race_plot
"hp_hat[1,1,1]",0.026288535086951198,0.0013420454147058678,0.023812613393597658,0.029027002138148853,Hispanic,0,1988,1,Force of Infection (λ),1,1,0.026288535086951198,0.023812613393597658,0.029027002138148853,Hispanic,1988,1
"hp_hat[2,1,1]",0.02619994242824872,0.0013260559213332415,0.023754332250918095,0.028900017313261604,Hispanic,1,1988,1,Force of Infection (λ),2,1,0.02619994242824872,0.023754332250918095,0.028900017313261604,Hispanic,1988,1
"hp_hat[3,1,1]",0.02610929623023991,0.0013096989896225378,0.023694974846923057,0.02876988939255783,Hispanic,2,1988,1,Force of Infection (λ),3,1,0.02610929623023991,0.023694974846923057,0.02876988939255783,Hispanic,1988,1
"hp_hat[4,1,1]",0.0260165664012189,0.0012929769874510388,0.023615925931744865,0.028636575284728565,Hispanic,3,1988,1,Force of Infection (λ),4,1,0.0260165664012189,0.023615925931744865,0.028636575284728565,Hispanic,1988,1
"hp_hat[5,1,1]",0.025921723374727625,0.0012758933047647685,0.023550907934434467,0.028509271192537402,Hispanic,4,1988,1,Force of Infection (λ),5,1,0.025921723374727625,0.023550907934434467,0.028509271192537402,Hispanic,1988,1
"hp_hat[6,1,1]",0.02582473817283462,0.0012584524446268568,0.023483853324904373,0.028397087128788336,Hispanic,5,1988,1,Force of Infection (λ),6,1,0.02582473817283462,0.023483853324904373,0.028397087128788336,Hispanic,1988,1
"hp_hat[7,1,1]",0.025725582471511316,0.0012406601214812903,0.02341857665219024,0.028259753030586057,Hispanic,6,1988,1,Force of Infection (λ),7,1,0.025725582471511316,0.02341857665219024,0.028259753030586057,Hispanic,1988,1
"hp_hat[8,1,1]",0.02562422866804066,0.0012225233673208934,0.023350385195590614,0.028086487442491283,Hispanic,7,1988,1,Force of Infection (λ),8,1,0.02562422866804066,0.023350385195590614,0.028086487442491283,Hispanic,1988,1
"hp_hat[9,1,1]",0.0255206499503801,0.0012040506465238292,0.023281567183273604,0.027935859103238644,Hispanic,8,1988,1,Force of Infection (λ),9,1,0.0255206499503801,0.023281567183273604,0.027935859103238644,Hispanic,1988,1
"hp_hat[10,1,1]",0.025414820368387932,0.00118525198020298,0.02320702978420389,0.027807469795415884,Hispanic,9,1988,1,Force of Infection (λ),10,1,0.025414820368387932,0.02320702978420389,0.027807469795415884,Hispanic,1988,1
"hp_hat[11,1,1]",0.025306714906808227,0.001166139080995916,0.023131912390253213,0.027670131594574158,Hispanic,10,1988,1,Force of Infection (λ),11,1,0.025306714906808227,0.023131912390253213,0.027670131594574158,Hispanic,1988,1
"hp_hat[12,1,1]",0.025196309559895404,0.0011467254993067235,0.023062878176666683,0.02753279062468146,Hispanic,11,1988,1,Force of Infection (λ),12,1,0.025196309559895404,0.023062878176666683,0.02753279062468146,Hispanic,1988,1
"hp_hat[13,1,1]",0.02508358140754489,0.0011270267820907062,0.022986793025200528,0.027365198625844956,Hispanic,12,1988,1,Force of Infection (λ),13,1,0.02508358140754489,0.022986793025200528,0.027365198625844956,Hispanic,1988,1
"hp_hat[14,1,1]",0.02496850869278138,0.0011070606453422232,0.02290926127619219,0.027214565851005578,Hispanic,13,1988,1,Force of Infection (λ),14,1,0.02496850869278138,0.02290926127619219,0.027214565851005578,Hispanic,1988,1
"hp_hat[15,1,1]",0.024851070900440895,0.0010868471614957449,0.02281760514490944,0.02702438522532609,Hispanic,14,1988,1,Force of Infection (λ),15,1,0.024851070900440895,0.02281760514490944,0.02702438522532609,Hispanic,1988,1
"hp_hat[16,1,1]",0.024731248836867416,0.001066408962966865,0.02273521802721874,0.02686534114597689,Hispanic,15,1988,1,Force of Infection (λ),16,1,0.024731248836867416,0.02273521802721874,0.02686534114597689,Hispanic,1988,1
"hp_hat[17,1,1]",0.024609024710429292,0.0010457714630257102,0.02264604705777111,0.026702549356094243,Hispanic,16,1988,1,Force of Infection (λ),17,1,0.024609024710429292,0.02264604705777111,0.026702549356094243,Hispanic,1988,1
"hp_hat[18,1,1]",0.02448438221264496,0.001024963095083892,0.022550936480817026,0.02653163518025051,Hispanic,17,1988,1,Force of Infection (λ),18,1,0.02448438221264496,0.022550936480817026,0.02653163518025051,Hispanic,1988,1
"hp_hat[19,1,1]",0.024357306599692104,0.0010040155712542796,0.022454851289903464,0.026363944649484355,Hispanic,18,1988,1,Force of Infection (λ),19,1,0.024357306599692104,0.022454851289903464,0.026363944649484355,Hispanic,1988,1
"hp_hat[20,1,1]",0.024227784774059034,9.829641606641474e-4,0.022366008091680815,0.02619527803250983,Hispanic,19,1988,1,Force of Infection (λ),20,1,0.024227784774059034,0.022366008091680815,0.02619527803250983,Hispanic,1988,1
"hp_hat[21,1,1]",0.024095805366082045,9.618479874072083e-4,0.02226825691651256,0.026021649155027308,Hispanic,20,1988,1,Force of Infection (λ),21,1,0.024095805366082045,0.02226825691651256,0.026021649155027308,Hispanic,1988,1
"hp_hat[22,1,1]",0.023961358815098147,9.407103471313199e-4,0.02216502557672413,0.025839886765383582,Hispanic,21,1988,1,Force of Infection (λ),22,1,0.023961358815098147,0.02216502557672413,0.025839886765383582,Hispanic,1988,1
"hp_hat[23,1,1]",0.02382443744992855,9.195990399792132e-4,0.022071150802875292,0.025643382389407825,Hispanic,22,1988,1,Force of Infection (λ),23,1,0.02382443744992855,0.022071150802875292,0.025643382389407825,Hispanic,1988,1
"hp_hat[24,1,1]",0.023685035568395095,8.985667158105624e-4,0.021968200356967272,0.025471023047659205,Hispanic,23,1988,1,Force of Infection (λ),24,1,0.023685035568395095,0.021968200356967272,0.025471023047659205,Hispanic,1988,1
"hp_hat[25,1,1]",0.023543149515559768,8.776712251947362e-4,0.021862410107540718,0.025289331272002665,Hispanic,24,1988,1,Force of Infection (λ),25,1,0.023543149515559768,0.021862410107540718,0.025289331272002665,Hispanic,1988,1
"hp_hat[26,1,1]",0.023398777760365915,8.569759664177766e-4,0.02176033510892006,0.025100234139411853,Hispanic,25,1988,1,Force of Infection (λ),26,1,0.023398777760365915,0.02176033510892006,0.025100234139411853,Hispanic,1988,1
"hp_hat[27,1,1]",0.023251920970350018,8.365502145328147e-4,0.021653308656313836,0.024908868639635727,Hispanic,26,1988,1,Force of Infection (λ),27,1,0.023251920970350018,0.021653308656313836,0.024908868639635727,Hispanic,1988,1
"hp_hat[28,1,1]",0.023102582084084024,8.164694131579625e-4,0.021544806991007137,0.02472177995739645,Hispanic,27,1988,1,Force of Infection (λ),28,1,0.023102582084084024,0.021544806991007137,0.02472177995739645,Hispanic,1988,1
"hp_hat[29,1,1]",0.022950766381001166,7.968154032071046e-4,0.021437532356969227,0.024520575426539678,Hispanic,28,1988,1,Force of Infection (λ),29,1,0.022950766381001166,0.021437532356969227,0.024520575426539678,Hispanic,1988,1
"hp_hat[30,1,1]",0.0227964815482526,7.776765550690342e-4,0.02133022626326108,0.024335677276047993,Hispanic,29,1988,1,Force of Infection (λ),30,1,0.0227964815482526,0.02133022626326108,0.024335677276047993,Hispanic,1988,1
"hp_hat[31,1,1]",0.022639737744238494,7.591477621878077e-4,0.021217523478662688,0.02413995056981278,Hispanic,30,1988,1,Force of Infection (λ),31,1,0.022639737744238494,0.021217523478662688,0.02413995056981278,Hispanic,1988,1
"hp_hat[32,1,1]",0.022480547658455315,7.413302451400847e-4,0.02108094287105981,0.02395369789815907,Hispanic,31,1988,1,Force of Infection (λ),32,1,0.022480547658455315,0.02108094287105981,0.02395369789815907,Hispanic,1988,1
"hp_hat[33,1,1]",0.022318926567301414,7.243311072313611e-4,0.020941546191427948,0.02375880798553395,Hispanic,32,1988,1,Force of Infection (λ),33,1,0.022318926567301414,0.020941546191427948,0.02375880798553395,Hispanic,1988,1
"hp_hat[34,1,1]",0.02215489238548522,7.082625770332143e-4,0.020810176657437056,0.02355508489761923,Hispanic,33,1988,1,Force of Infection (λ),34,1,0.02215489238548522,0.020810176657437056,0.02355508489761923,Hispanic,1988,1
"hp_hat[35,1,1]",0.021988465712685246,6.932408725278667e-4,0.02066936889471357,0.023355045276945284,Hispanic,34,1988,1,Force of Infection (λ),35,1,0.021988465712685246,0.02066936889471357,0.023355045276945284,Hispanic,1988,1
"hp_hat[36,1,1]",0.021819669875117905,6.79384628576248e-4,0.020542458772622462,0.023161695918150458,Hispanic,35,1988,1,Force of Infection (λ),36,1,0.021819669875117905,0.020542458772622462,0.023161695918150458,Hispanic,1988,1
"hp_hat[37,1,1]",0.0216485309616787,6.668128474764299e-4,0.020397454125443117,0.02296842644077466,Hispanic,36,1988,1,Force of Infection (λ),37,1,0.0216485309616787,0.020397454125443117,0.02296842644077466,Hispanic,1988,1
"hp_hat[38,1,1]",0.02147507785433428,6.556423641257372e-4,0.020248219105198976,0.022778707913169584,Hispanic,37,1988,1,Force of Infection (λ),38,1,0.02147507785433428,0.020248219105198976,0.022778707913169584,Hispanic,1988,1
"hp_hat[39,1,1]",0.021299342252457134,6.459848638033328e-4,0.02010136197255692,0.02255780771034917,Hispanic,38,1988,1,Force of Infection (λ),39,1,0.021299342252457134,0.02010136197255692,0.02255780771034917,Hispanic,1988,1
"hp_hat[40,1,1]",0.021121358690811783,6.37943549902008e-4,0.019935507964877253,0.022360411784866637,Hispanic,39,1988,1,Force of Infection (λ),40,1,0.021121358690811783,0.019935507964877253,0.022360411784866637,Hispanic,1988,1
"hp_hat[41,1,1]",0.02094116455092059,6.316096249074743e-4,0.01978387715887026,0.02219687383472934,Hispanic,40,1988,1,Force of Infection (λ),41,1,0.02094116455092059,0.01978387715887026,0.02219687383472934,Hispanic,1988,1
"hp_hat[42,1,1]",0.020758800065559267,6.270588098669736e-4,0.019599744658663192,0.022024376366925908,Hispanic,41,1988,1,Force of Infection (λ),42,1,0.020758800065559267,0.019599744658663192,0.022024376366925908,Hispanic,1988,1
"hp_hat[43,1,1]",0.020574308316156396,6.24348171539138e-4,0.01941119506346223,0.021830831784627944,Hispanic,42,1988,1,Force of Infection (λ),43,1,0.020574308316156396,0.01941119506346223,0.021830831784627944,Hispanic,1988,1
"hp_hat[44,1,1]",0.02038773522289773,6.235135382763105e-4,0.01921695147247557,0.021626303585204953,Hispanic,43,1988,1,Force of Infection (λ),44,1,0.02038773522289773,0.01921695147247557,0.021626303585204953,Hispanic,1988,1
"hp_hat[45,1,1]",0.020199129527364867,6.245677557572516e-4,0.01902957558514038,0.021428726408404843,Hispanic,44,1988,1,Force of Infection (λ),45,1,0.020199129527364867,0.01902957558514038,0.021428726408404843,Hispanic,1988,1
"hp_hat[46,1,1]",0.02000854276756859,6.274999610084624e-4,0.018831252092843916,0.02122510120495275,Hispanic,45,1988,1,Force of Infection (λ),46,1,0.02000854276756859,0.018831252092843916,0.02122510120495275,Hispanic,1988,1
"hp_hat[47,1,1]",0.019816029245269696,6.322759476333022e-4,0.01861465474738628,0.02103439364512904,Hispanic,46,1988,1,Force of Infection (λ),47,1,0.019816029245269696,0.01861465474738628,0.02103439364512904,Hispanic,1988,1
"hp_hat[48,1,1]",0.019621645985514538,6.388395759572547e-4,0.018390427514087624,0.020847123252317672,Hispanic,47,1988,1,Force of Infection (λ),48,1,0.019621645985514538,0.018390427514087624,0.020847123252317672,Hispanic,1988,1
"hp_hat[49,1,1]",0.019425452688348104,6.471150720479031e-4,0.018153645887120748,0.020683383785474508,Hispanic,48,1988,1,Force of Infection (λ),49,1,0.019425452688348104,0.018153645887120748,0.020683383785474508,Hispanic,1988,1
